IMF Z log(age) U B1 B2 V R u g r i z
CHA 0.0001 7.68 1.8063434533778036 2.434170738129352 2.4261808374969966 2.55014218943099 2.585260665445279 3.0070807545741167 2.82886281572574 3.1504347541985616 3.4476634673363384 3.6179942120850987
CHA 0.0001 7.7 1.8726404936393193 2.500490741685896 2.4925964892780765 2.6141153430495443 2.6462534321928946 3.0722795444489512 2.8941594244874245 3.2127872943554343 3.5058240423474536 3.6740827693292437
CHA 0.0001 7.74 1.970366823293266 2.5801464412492257 2.572469100015125 2.6901039343669226 2.721158320282914 3.174432070046604 2.9718046313856425 3.288028678100152 3.5801748896443804 3.746720180229898
CHA 0.0001 7.78 2.0177656273383664 2.6030629496958286 2.5957039887921773 2.704776637764914 2.7283935421480514 3.228587047672091 2.9911203990143185 3.2982243213780342 3.5817844869068813 3.7402244313682664
CHA 0.0001 7.81 2.05923261939127 2.6290529072207853 2.6219204041443547 2.7249312418081444 2.7430505750942578 3.2740696650866545 3.0145683812414155 3.3150977879067134 3.592198639749467 3.745454245474986
CHA 0.0001 7.85 2.1599753695917974 2.7122396170544096 2.7053676341251416 2.8029515622346577 2.8179388609746057 3.3788255646913234 3.095172459474076 3.3912078722514116 3.6647924605253457 3.814591616188712
CHA 0.0001 7.87 2.187081155576143 2.7311431185252104 2.7244096291603883 2.8182117720538575 2.8297296829538086 3.407971139297414 3.1124993321686225 3.4043839723171962 3.6739566748394146 3.8208804486676704
CHA 0.0001 7.9 2.2189487032066517 2.7428021955120974 2.73632363874402 2.8231412562892593 2.8288252999414536 3.445832832713277 3.1212337677677815 3.4057302963027403 3.6689113074851796 3.8100209507674214
CHA 0.0001 7.93 2.248317370172937 2.7528463674637766 2.7466384796529972 2.826214025222878 2.8260006727295206 3.4807287759748227 3.1282059572855068 3.405188391379409 3.6618799843272405 3.797563254822902
CHA 0.0001 7.95 2.279792077439609 2.770892459463492 2.7648830197084298 2.8386998331404376 2.833375431807799 3.5162054581357984 3.1438897673582082 3.4145527024166333 3.6655957534927928 3.7968082608330014
CHA 0.0001 7.98 2.369409317752479 2.856634032964757 2.85086823945592 2.917433620746041 2.904274193716908 3.6052678391156667 3.2267197598020068 3.488696947899759 3.730243412363732 3.8574047100382436
CHA 0.0001 8.0 2.4186828285323676 2.893967911643627 2.8883021788329315 2.9550601441598343 2.9456953820200313 3.6576452864343216 3.263571762606245 3.528423390122382 3.774957862920876 3.9052330414858054
CHA 0.0001 8.3 2.8816004137543403 3.1228699837052214 3.1253314298891386 2.8398608721172955 2.34799930202336 4.169116113378093 3.372238388170151 3.1302342116823616 2.863870581734131 2.698106418524842
CHA 0.0001 8.48 3.2432063654286782 3.3509758541204393 3.3580867527839464 2.9396757134777065 2.3950878208419057 4.558066638850759 3.5416467968584207 3.1871291848270693 2.9041824808187875 2.7547379485695678
CHA 0.0001 8.6 3.444361677335504 3.4987805985622726 3.506115824214934 3.0917536804188943 2.5569790866217823 4.7818136777550375 3.6893223635098997 3.345653477998551 3.0700591880108994 2.920962550835673
CHA 0.0001 8.7 3.675529038200543 3.715789313898751 3.722383444498714 3.355775813520868 2.8758938543155548 5.019767078410437 3.9217460553573296 3.644642947366376 3.4140275459809337 3.283189235994866
CHA 0.0001 8.78 3.7904246171409506 3.7911145240918693 3.79856238242878 3.4143774534499958 2.9298057660714036 5.146125588110669 3.9881738625398078 3.6995800105784205 3.4669225458180057 3.3360325474785504
CHA 0.0001 8.85 3.924915658123352 3.888045851335431 3.8964593306361137 3.4892782111422216 2.9928132162913106 5.2892063480282285 4.074438540431478 3.766432629667617 3.525211774727557 3.391425456475813
CHA 0.0001 8.9 4.085705973291641 4.05391428490764 4.061921158431373 3.6780296474959275 3.2091475101128863 5.44837081204418 4.247964303247043 3.97243322241413 3.754972382698545 3.6322267283492358
